Year,Donor Types,Age Groups,All States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
2014,Deceased Donor,50-64 Years,"4,995",45,99,7,616,58,41,7,69,334,124,15,201,93,69,58,43,98,8,173,174,157,114,26,101,45,10,6,63,19,342,186,10,165,46,34,323,36,17,49,14,151,339,49,10,85,102,12,152
2014,Deceased Donor,65 +,848,8,28,1,105,3,7,1,20,77,30,1,26,5,5,8,8,20,2,33,23,15,25,0,24,14,2,1,20,4,65,33,2,25,2,8,68,8,3,5,0,26,29,10,3,21,5,3,16
2014,Living Donor,All Donor Ages,"5,819",95,134,10,628,115,71,6,64,225,177,10,270,88,42,22,36,69,27,189,199,207,258,9,93,35,5,19,167,16,546,152,17,295,38,60,324,11,16,27,11,93,461,76,6,150,110,4,136
2014,Living Donor,11-17 Years,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014,Living Donor,18-34 Years,"1,762",25,40,4,200,29,18,2,27,69,53,2,107,28,14,5,7,25,3,58,57,51,77,4,27,5,0,5,46,4,170,44,0,78,9,13,105,5,2,8,6,34,163,24,2,40,27,2,38
2014,Living Donor,35-49 Years,"2,367",43,61,3,247,47,28,3,16,92,68,4,109,37,15,8,19,25,9,65,75,86,104,2,33,18,3,10,77,5,213,67,4,124,18,26,134,6,6,12,3,40,198,40,2,64,46,1,51
2014,Living Donor,50-64 Years,"1,527",25,32,2,166,35,21,1,17,58,50,4,52,23,10,9,10,17,11,53,58,66,67,3,27,11,1,4,39,7,147,36,9,89,11,21,81,0,8,5,2,18,85,10,1,46,34,1,44
2014,Living Donor,65 +,160,2,1,1,15,4,4,0,3,6,6,0,2,0,3,0,0,2,4,13,9,4,10,0,6,1,1,0,5,0,16,5,4,4,0,0,2,0,0,2,0,1,15,2,1,0,3,0,3
2014,Living Donor,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,All Donor Types,All Donor Ages,"28,956",413,754,156,"3,491",474,223,60,331,"1,721",829,56,"1,128",566,263,233,326,523,38,776,753,923,722,126,695,347,59,39,519,65,"1,671",954,38,"1,180",260,290,"1,866",138,42,280,35,796,"2,431",361,25,633,619,43,685
2013,All Donor Types,< 1 Year,285,1,4,4,78,4,1,1,13,10,10,0,8,1,3,0,0,0,0,15,6,2,1,0,10,26,0,0,0,0,14,10,0,4,0,0,13,0,0,5,0,5,12,6,0,9,5,0,4
2013,All Donor Types,1-5 Years,530,7,12,3,85,8,7,1,4,41,22,0,14,4,5,1,4,4,0,6,16,14,5,3,15,17,0,0,4,0,45,14,0,21,4,5,41,0,0,8,0,3,50,8,1,4,19,0,5
2013,All Donor Types,6-10 Years,403,10,5,2,42,2,2,4,3,25,22,0,13,11,3,2,2,11,0,10,13,14,8,6,11,6,0,0,0,0,23,13,1,14,3,4,44,2,0,0,1,12,40,6,0,3,6,0,4
2013,All Donor Types,11-17 Years,"1,568",30,41,15,171,33,6,4,24,120,64,2,53,43,16,14,18,46,0,25,17,40,41,8,46,18,3,1,14,5,38,37,0,42,15,25,80,1,3,18,1,34,205,29,0,50,47,4,21
2013,All Donor Types,18-34 Years,"10,240",130,240,69,"1,228",182,59,16,82,573,277,14,442,224,101,80,137,205,7,242,217,328,268,42,254,103,22,9,185,19,520,359,14,413,92,110,638,53,20,92,20,319,"1,005",147,5,206,237,8,227
2013,All Donor Types,35-49 Years,"8,538",113,227,45,"1,004",147,81,18,84,475,237,21,351,158,85,72,93,127,13,206,222,291,226,37,187,91,26,16,189,18,491,255,5,367,86,81,568,48,5,101,8,263,690,98,10,191,184,14,213
2013,All Donor Types,50-64 Years,"6,384",108,169,18,802,86,55,14,91,410,171,17,206,114,40,51,64,113,18,226,222,210,141,27,155,61,8,12,110,18,439,226,15,288,59,60,418,27,14,53,3,144,396,52,9,137,106,13,188
2013,All Donor Types,65 +,"1,008",14,56,0,81,12,12,2,30,67,26,2,41,11,10,13,8,17,0,46,40,24,32,3,17,25,0,1,17,5,101,40,3,31,1,5,64,7,0,3,2,16,33,15,0,33,15,4,23
2013,Deceased Donor,All Donor Ages,"22,968",294,604,144,"2,820",380,150,50,283,"1,448",665,46,807,466,221,212,290,452,19,566,559,700,460,122,621,316,58,19,349,43,"1,176",846,20,840,209,240,"1,501",131,29,256,28,688,"1,953",289,20,490,496,41,551
2013,Deceased Donor,< 1 Year,285,1,4,4,78,4,1,1,13,10,10,0,8,1,3,0,0,0,0,15,6,2,1,0,10,26,0,0,0,0,14,10,0,4,0,0,13,0,0,5,0,5,12,6,0,9,5,0,4
2013,Deceased Donor,1-5 Years,530,7,12,3,85,8,7,1,4,41,22,0,14,4,5,1,4,4,0,6,16,14,5,3,15,17,0,0,4,0,45,14,0,21,4,5,41,0,0,8,0,3,50,8,1,4,19,0,5
2013,Deceased Donor,6-10 Years,403,10,5,2,42,2,2,4,3,25,22,0,13,11,3,2,2,11,0,10,13,14,8,6,11,6,0,0,0,0,23,13,1,14,3,4,44,2,0,0,1,12,40,6,0,3,6,0,4
2013,Deceased Donor,11-17 Years,"1,568",30,41,15,171,33,6,4,24,120,64,2,53,43,16,14,18,46,0,25,17,40,41,8,46,18,3,1,14,5,38,37,0,42,15,25,80,1,3,18,1,34,205,29,0,50,47,4,21
2013,Deceased Donor,18-34 Years,"8,395",100,192,63,"1,019",158,39,14,72,483,224,13,305,197,89,72,125,177,5,186,162,264,194,42,236,95,21,6,131,11,355,325,9,320,72,99,531,52,17,84,17,276,833,112,3,171,214,8,202
2013,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Deceased Donor,35-49 Years,"6,098",64,166,43,739,107,49,12,64,383,175,16,227,115,66,64,78,98,5,124,146,196,112,33,156,77,26,5,119,10,296,213,4,222,71,65,388,44,2,89,5,218,497,78,8,123,127,13,160
2013,Deceased Donor,50-64 Years,"4,801",72,134,14,619,56,36,12,75,327,127,13,150,85,31,46,55,100,9,164,162,153,70,27,132,52,8,7,67,12,318,196,3,193,43,38,340,25,7,49,3,124,291,35,8,98,68,12,135
2013,Deceased Donor,65 +,888,10,50,0,67,12,10,2,28,59,21,2,37,10,8,13,8,16,0,36,37,17,29,3,15,25,0,0,14,5,87,38,3,24,1,4,64,7,0,3,1,16,25,15,0,32,10,4,20
2013,Living Donor,All Donor Ages,"5,988",119,150,12,671,94,73,10,48,273,164,10,321,100,42,21,36,71,19,210,194,223,262,4,74,31,1,20,170,22,495,108,18,340,51,50,365,7,13,24,7,108,478,72,5,143,123,2,134
2013,Living Donor,18-34 Years,"1,845",30,48,6,209,24,20,2,10,90,53,1,137,27,12,8,12,28,2,56,55,64,74,0,18,8,1,3,54,8,165,34,5,93,20,11,107,1,3,8,3,43,172,35,2,35,23,0,25
2013,Living Donor,35-49 Years,"2,440",49,61,2,265,40,32,6,20,92,62,5,124,43,19,8,15,29,8,82,76,95,114,4,31,14,0,11,70,8,195,42,1,145,15,16,180,4,3,12,3,45,193,20,2,68,57,1,53
2013,Living Donor,50-64 Years,"1,583",36,35,4,183,30,19,2,16,83,44,4,56,29,9,5,9,13,9,62,60,57,71,0,23,9,0,5,43,6,121,30,12,95,16,22,78,2,7,4,0,20,105,17,1,39,38,1,53
2013,Living Donor,65 +,120,4,6,0,14,0,2,0,2,8,5,0,4,1,2,0,0,1,0,10,3,7,3,0,2,0,0,1,3,0,14,2,0,7,0,1,0,0,0,0,1,0,8,0,0,1,5,0,3
2012,All Donor Types,All Donor Ages,"28,059",372,652,161,"3,357",431,237,48,321,"1,750",803,27,"1,060",612,212,201,305,527,45,746,690,870,752,115,727,302,60,43,549,62,"1,802",955,23,"1,200",278,262,"1,643",124,66,273,49,738,"2,355",271,24,688,585,40,646
2012,All Donor Types,< 1 Year,286,2,5,8,81,2,1,2,15,10,6,0,4,9,3,0,0,0,0,4,4,7,7,0,11,21,0,0,0,0,11,8,0,9,0,0,20,0,0,7,0,1,13,1,0,3,7,0,4
2012,All Donor Types,1-5 Years,531,5,7,5,73,5,3,3,11,27,12,0,19,18,4,4,1,3,1,12,8,15,11,0,21,17,0,0,2,0,37,14,0,17,2,3,33,0,4,11,0,11,72,6,0,3,18,0,13
2012,All Donor Types,6-10 Years,393,3,4,3,57,3,5,1,5,24,13,0,14,11,5,7,11,16,0,4,8,11,13,4,10,5,2,1,3,0,9,11,0,13,4,4,18,0,2,7,0,12,36,6,0,5,11,0,12
2012,All Donor Types,11-17 Years,"1,524",23,23,7,160,13,9,2,6,129,66,0,78,43,6,3,18,45,2,21,22,49,38,13,33,9,11,4,15,5,82,59,1,62,26,18,58,12,1,15,3,46,155,21,1,33,42,3,33
2012,All Donor Types,18-34 Years,"10,004",141,236,80,"1,144",178,85,22,78,686,287,11,364,230,68,82,115,188,21,290,217,307,264,44,273,88,21,12,196,15,551,302,6,412,114,114,641,58,16,89,16,291,908,102,7,216,207,9,202
2012,All Donor Types,35-49 Years,"8,232",112,217,42,938,145,77,8,84,495,242,8,312,185,77,61,94,142,7,199,215,245,214,35,216,70,20,16,207,22,539,320,8,343,72,67,443,24,21,77,14,217,715,91,9,229,153,18,167
2012,All Donor Types,50-64 Years,"6,211",78,142,14,794,73,53,10,82,339,154,8,238,111,43,38,59,118,14,187,189,219,173,18,135,74,6,10,116,11,481,209,7,316,50,51,384,30,20,64,14,140,398,43,6,159,128,10,195
2012,All Donor Types,65 +,878,8,18,2,110,12,4,0,40,40,23,0,31,5,6,6,7,15,0,29,27,17,32,1,28,18,0,0,10,9,92,32,1,28,10,5,46,0,2,3,2,20,58,1,1,40,19,0,20
2012,Deceased Donor,All Donor Ages,"22,193",289,492,139,"2,700",321,160,37,272,"1,512",656,24,731,523,167,173,279,462,27,552,501,651,467,115,643,266,57,23,360,46,"1,331",830,9,868,236,196,"1,338",120,41,246,34,613,"1,893",209,15,539,471,38,521
2012,Deceased Donor,< 1 Year,286,2,5,8,81,2,1,2,15,10,6,0,4,9,3,0,0,0,0,4,4,7,7,0,11,21,0,0,0,0,11,8,0,9,0,0,20,0,0,7,0,1,13,1,0,3,7,0,4
2012,Deceased Donor,1-5 Years,531,5,7,5,73,5,3,3,11,27,12,0,19,18,4,4,1,3,1,12,8,15,11,0,21,17,0,0,2,0,37,14,0,17,2,3,33,0,4,11,0,11,72,6,0,3,18,0,13
2012,Deceased Donor,6-10 Years,393,3,4,3,57,3,5,1,5,24,13,0,14,11,5,7,11,16,0,4,8,11,13,4,10,5,2,1,3,0,9,11,0,13,4,4,18,0,2,7,0,12,36,6,0,5,11,0,12
2012,Deceased Donor,11-17 Years,"1,522",23,23,7,160,13,9,2,6,129,66,0,77,43,6,3,18,45,2,21,22,49,38,13,33,9,11,4,15,5,82,59,1,62,26,18,57,12,1,15,3,46,155,21,1,33,42,3,33
2012,Deceased Donor,18-34 Years,"8,230",113,193,69,930,147,64,16,66,606,254,11,235,196,60,71,109,170,13,246,170,239,197,44,244,79,20,10,140,15,403,270,1,330,99,91,553,55,11,78,8,244,740,80,5,179,178,8,170
2012,Deceased Donor,35-49 Years,"5,780",72,138,36,676,98,40,5,60,400,168,7,195,143,52,49,80,110,2,118,140,155,88,35,184,57,18,7,123,11,353,260,2,203,54,44,307,24,12,65,9,171,519,64,5,168,111,17,125
2012,Deceased Donor,50-64 Years,"4,699",65,104,9,632,41,37,8,69,282,120,6,164,98,32,33,53,103,9,126,125,160,93,18,113,61,6,1,70,6,356,178,4,212,42,34,308,29,9,60,12,109,309,30,3,111,91,10,148
2012,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Deceased Donor,65 +,752,6,18,2,91,12,1,0,40,34,17,0,23,5,5,6,7,15,0,21,24,15,20,1,27,17,0,0,7,9,80,30,1,22,9,2,42,0,2,3,2,19,49,1,1,37,13,0,16
2012,Living Donor,All Donor Ages,"5,866",83,160,22,657,110,77,11,49,238,147,3,329,89,45,28,26,65,18,194,189,219,285,0,84,36,3,20,189,16,471,125,14,332,42,66,305,4,25,27,15,125,462,62,9,149,114,2,125
2012,Living Donor,11-17 Years,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,Living Donor,18-34 Years,"1,774",28,43,11,214,31,21,6,12,80,33,0,129,34,8,11,6,18,8,44,47,68,67,0,29,9,1,2,56,0,148,32,5,82,15,23,88,3,5,11,8,47,168,22,2,37,29,1,32
2012,Living Donor,35-49 Years,"2,452",40,79,6,262,47,37,3,24,95,74,1,117,42,25,12,14,32,5,81,75,90,126,0,32,13,2,9,84,11,186,60,6,140,18,23,136,0,9,12,5,46,196,27,4,61,42,1,42
2012,Living Donor,50-64 Years,"1,512",13,38,5,162,32,16,2,13,57,34,2,74,13,11,5,6,15,5,61,64,59,80,0,22,13,0,9,46,5,125,31,3,104,8,17,76,1,11,4,2,31,89,13,3,48,37,0,47
2012,Living Donor,65 +,126,2,0,0,19,0,3,0,0,6,6,0,8,0,1,0,0,0,0,8,3,2,12,0,1,1,0,0,3,0,12,2,0,6,1,3,4,0,0,0,0,1,9,0,0,3,6,0,4
2011,All Donor Types,All Donor Ages,"28,553",422,735,155,"3,311",484,237,48,325,"1,900",764,57,"1,194",566,242,235,281,480,46,673,739,816,774,84,747,261,45,63,596,78,"1,830","1,042",49,"1,126",278,278,"1,709",94,52,328,57,789,"2,318",289,38,624,547,44,703
2011,All Donor Types,< 1 Year,271,0,9,9,53,3,0,3,17,20,10,0,11,3,2,0,1,0,0,4,5,3,5,0,8,19,0,0,1,0,19,12,0,6,0,0,21,0,0,3,0,0,12,1,0,3,6,0,2
2011,All Donor Types,1-5 Years,592,6,16,9,112,7,1,4,9,40,19,0,24,7,6,6,2,8,0,8,13,13,13,4,21,7,0,0,3,0,27,12,1,22,3,3,27,1,0,11,1,11,67,9,0,6,21,0,12
2011,All Donor Types,6-10 Years,371,6,13,1,44,7,6,0,7,19,19,0,15,7,5,2,5,8,0,4,7,10,10,1,18,6,0,0,4,2,24,13,1,10,6,0,19,1,2,11,0,4,24,7,0,8,10,2,3
2011,All Donor Types,11-17 Years,"1,674",22,43,16,227,17,8,1,34,130,41,1,64,51,7,17,15,33,1,30,23,41,39,7,38,12,9,2,21,5,79,90,3,63,22,8,88,13,2,24,2,45,159,28,2,33,26,0,32
2011,All Donor Types,18-34 Years,"9,836",131,235,59,"1,070",206,73,14,87,686,238,19,379,210,81,77,99,205,11,233,219,294,267,42,276,66,20,20,190,23,539,368,11,358,106,104,638,49,22,125,17,282,931,130,10,206,174,11,225
2011,All Donor Types,35-49 Years,"8,590",138,226,34,940,146,72,12,76,589,255,31,374,187,75,71,92,135,19,199,216,242,226,22,204,68,13,24,207,18,546,296,18,368,81,110,480,16,10,98,11,273,678,65,14,211,161,17,226
2011,All Donor Types,50-64 Years,"6,369",103,163,25,775,97,69,13,72,368,165,6,291,93,58,55,63,85,15,172,215,201,182,8,168,71,3,16,154,26,485,205,15,274,55,46,370,12,14,53,26,161,406,47,9,133,141,12,173
2011,All Donor Types,65 +,850,16,30,2,90,1,8,1,23,48,17,0,36,8,8,7,4,6,0,23,41,12,32,0,14,12,0,1,16,4,111,46,0,25,5,7,66,2,2,3,0,13,41,2,3,24,8,2,30
2011,Deceased Donor,All Donor Ages,"22,531",316,545,140,"2,678",360,163,34,264,"1,680",594,50,837,453,189,217,250,412,19,519,558,631,468,84,656,220,40,41,406,62,"1,299",913,28,845,233,212,"1,426",92,34,300,36,652,"1,838",220,31,453,432,36,565
2011,Deceased Donor,< 1 Year,271,0,9,9,53,3,0,3,17,20,10,0,11,3,2,0,1,0,0,4,5,3,5,0,8,19,0,0,1,0,19,12,0,6,0,0,21,0,0,3,0,0,12,1,0,3,6,0,2
2011,Deceased Donor,1-5 Years,592,6,16,9,112,7,1,4,9,40,19,0,24,7,6,6,2,8,0,8,13,13,13,4,21,7,0,0,3,0,27,12,1,22,3,3,27,1,0,11,1,11,67,9,0,6,21,0,12
2011,Deceased Donor,6-10 Years,371,6,13,1,44,7,6,0,7,19,19,0,15,7,5,2,5,8,0,4,7,10,10,1,18,6,0,0,4,2,24,13,1,10,6,0,19,1,2,11,0,4,24,7,0,8,10,2,3
2011,Deceased Donor,11-17 Years,"1,673",22,43,16,227,17,8,1,34,130,41,1,64,51,7,17,15,33,1,30,23,41,39,7,38,12,9,2,21,5,79,90,3,63,22,8,87,13,2,24,2,45,159,28,2,33,26,0,32
2011,Deceased Donor,18-34 Years,"8,068",96,182,55,879,172,51,11,69,622,194,18,246,178,68,70,90,181,5,193,176,246,187,42,258,55,20,17,141,18,369,329,8,276,95,87,560,48,17,113,11,238,766,104,9,152,148,10,188
2011,Deceased Donor,35-49 Years,"6,055",90,155,27,682,93,49,4,51,493,183,26,231,134,48,63,79,104,9,148,135,164,100,22,165,55,9,13,120,11,328,234,7,247,59,83,351,15,4,87,7,205,474,38,11,140,107,13,182
2011,Deceased Donor,50-64 Years,"4,748",81,102,21,603,61,43,10,55,309,114,5,212,66,46,52,54,72,4,113,163,144,88,8,136,54,2,9,105,22,357,178,8,200,43,26,300,12,7,48,15,136,300,31,6,89,109,9,120
2011,Deceased Donor,65 +,753,15,25,2,78,0,5,1,22,47,14,0,34,7,7,7,4,6,0,19,36,10,26,0,12,12,0,0,11,4,96,45,0,21,5,5,61,2,2,3,0,13,36,2,3,22,5,2,26
2011,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Living Donor,All Donor Ages,"6,022",106,190,15,633,124,74,14,61,220,170,7,357,113,53,18,31,68,27,154,181,185,306,0,91,41,5,22,190,16,531,129,21,281,45,66,283,2,18,28,21,137,480,69,7,171,115,8,138
2011,Living Donor,11-17 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,Living Donor,18-34 Years,"1,768",35,53,4,191,34,22,3,18,64,44,1,133,32,13,7,9,24,6,40,43,48,80,0,18,11,0,3,49,5,170,39,3,82,11,17,78,1,5,12,6,44,165,26,1,54,26,1,37
2011,Living Donor,35-49 Years,"2,535",48,71,7,258,53,23,8,25,96,72,5,143,53,27,8,13,31,10,51,81,78,126,0,39,13,4,11,87,7,218,62,11,121,22,27,129,1,6,11,4,68,204,27,3,71,54,4,44
2011,Living Donor,50-64 Years,"1,621",22,61,4,172,36,26,3,17,59,51,1,79,27,12,3,9,13,11,59,52,57,94,0,32,17,1,7,49,4,128,27,7,74,12,20,70,0,7,5,11,25,106,16,3,44,32,3,53
2011,Living Donor,65 +,97,1,5,0,12,1,3,0,1,1,3,0,2,1,1,0,0,0,0,4,5,2,6,0,2,0,0,1,5,0,15,1,0,4,0,2,5,0,0,0,0,0,5,0,0,2,3,0,4
2010,All Donor Types,All Donor Ages,"28,668",433,618,159,"3,223",478,278,39,335,"1,900",782,63,"1,167",588,249,212,311,520,42,629,777,843,766,64,725,303,47,61,595,78,"1,802","1,044",40,"1,215",246,261,"1,934",93,49,299,34,715,"2,368",268,45,682,579,37,672
2010,All Donor Types,< 1 Year,284,2,3,6,37,5,0,1,7,7,12,0,6,4,1,0,1,0,0,3,5,6,11,0,16,38,0,0,4,0,25,16,0,5,1,0,18,0,0,4,0,4,17,5,1,1,8,0,4
2010,All Donor Types,1-5 Years,512,0,9,3,81,7,2,2,14,39,24,0,16,10,3,4,7,6,0,3,10,8,11,1,19,19,0,0,4,0,25,28,0,14,2,2,23,0,0,6,1,14,72,3,0,1,12,0,7
2010,All Donor Types,6-10 Years,368,7,6,2,42,10,1,3,5,20,14,0,11,11,4,0,4,1,0,11,12,15,3,0,10,3,0,0,1,0,15,9,0,24,2,2,33,2,0,1,0,15,34,12,2,4,10,0,7
2010,All Donor Types,11-17 Years,"1,751",34,26,15,193,43,11,1,16,122,45,4,64,77,25,19,23,40,0,25,41,74,38,6,46,26,3,1,21,4,62,53,4,70,18,12,83,6,2,28,0,50,163,16,5,52,29,0,55
2010,All Donor Types,18-34 Years,"9,946",163,240,67,"1,135",155,91,13,99,713,291,27,461,205,79,84,107,226,16,224,199,222,233,17,255,80,23,23,173,29,550,366,14,399,90,106,707,48,24,112,10,239,835,137,16,224,210,13,196
2010,All Donor Types,35-49 Years,"8,572",128,200,33,958,147,83,9,94,519,229,19,332,182,89,48,114,146,16,170,213,283,252,18,208,72,17,18,204,25,536,306,9,403,83,85,571,19,11,83,9,262,684,69,10,228,172,8,198
2010,All Donor Types,50-64 Years,"6,261",82,111,27,709,106,73,9,78,410,144,13,244,86,43,43,47,95,9,168,227,209,181,22,151,52,4,17,170,19,465,235,11,269,44,48,412,15,11,64,12,124,496,21,6,156,123,16,184
2010,All Donor Types,65 +,972,17,23,6,68,5,17,1,22,70,23,0,33,13,5,14,8,6,1,25,70,26,37,0,20,13,0,2,18,1,124,31,2,31,6,6,85,3,1,1,2,7,67,5,5,16,15,0,21
2010,All Donor Types,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2010,Deceased Donor,All Donor Ages,"22,107",345,429,144,"2,455",333,188,26,240,"1,659",621,56,762,464,195,182,290,454,22,476,548,634,452,59,614,242,44,35,398,62,"1,257",913,21,900,193,185,"1,606",82,24,262,20,614,"1,826",197,39,529,437,31,542
2010,Deceased Donor,< 1 Year,284,2,3,6,37,5,0,1,7,7,12,0,6,4,1,0,1,0,0,3,5,6,11,0,16,38,0,0,4,0,25,16,0,5,1,0,18,0,0,4,0,4,17,5,1,1,8,0,4
2010,Deceased Donor,1-5 Years,512,0,9,3,81,7,2,2,14,39,24,0,16,10,3,4,7,6,0,3,10,8,11,1,19,19,0,0,4,0,25,28,0,14,2,2,23,0,0,6,1,14,72,3,0,1,12,0,7
2010,Deceased Donor,6-10 Years,366,7,6,2,41,10,1,3,5,20,14,0,11,11,4,0,4,1,0,11,12,15,3,0,10,3,0,0,1,0,14,9,0,24,2,2,33,2,0,1,0,15,34,12,2,4,10,0,7
2010,Deceased Donor,11-17 Years,"1,747",34,26,15,191,43,11,1,16,122,45,4,63,77,25,19,23,40,0,25,41,73,38,6,46,26,3,1,21,4,62,53,4,70,18,12,83,6,2,28,0,50,163,16,5,52,29,0,55
2010,Deceased Donor,18-34 Years,"7,906",140,182,61,883,108,70,7,77,619,241,26,304,159,61,74,102,201,8,176,149,172,138,15,222,69,22,18,120,26,380,336,7,304,77,91,600,44,15,97,5,200,639,102,14,179,186,10,170
2010,Deceased Donor,35-49 Years,"5,814",88,133,27,657,81,46,6,50,421,163,16,175,124,64,37,103,117,7,121,125,191,114,16,156,42,15,9,110,17,313,240,4,260,55,54,433,15,5,67,5,214,463,41,6,156,104,5,143
2010,Deceased Donor,50-64 Years,"4,625",59,53,24,511,75,45,5,52,364,101,10,160,66,32,35,42,83,7,117,142,146,109,21,127,32,4,5,127,14,325,203,6,197,32,21,331,12,2,58,7,110,383,13,6,121,77,16,137
2010,Deceased Donor,65 +,851,15,17,6,54,4,13,1,19,67,21,0,27,13,5,13,8,6,0,20,64,23,28,0,18,13,0,2,11,1,113,28,0,26,6,3,83,3,0,1,2,7,55,5,5,15,11,0,19
2010,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Deceased Donor,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2010,Living Donor,All Donor Ages,"6,561",88,189,15,768,145,90,13,95,241,161,7,405,124,54,30,21,66,20,153,229,209,314,5,111,61,3,26,197,16,545,131,19,315,53,76,328,11,25,37,14,101,542,71,6,153,142,6,130
2010,Living Donor,6-10 Years,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Living Donor,11-17 Years,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Living Donor,18-34 Years,"2,040",23,58,6,252,47,21,6,22,94,50,1,157,46,18,10,5,25,8,48,50,50,95,2,33,11,1,5,53,3,170,30,7,95,13,15,107,4,9,15,5,39,196,35,2,45,24,3,26
2010,Living Donor,35-49 Years,"2,758",40,67,6,301,66,37,3,44,98,66,3,157,58,25,11,11,29,9,49,88,92,138,2,52,30,2,9,94,8,223,66,5,143,28,31,138,4,6,16,4,48,221,28,4,72,68,3,55
2010,Living Donor,50-64 Years,"1,636",23,58,3,198,31,28,4,26,46,43,3,84,20,11,8,5,12,2,51,85,63,72,1,24,20,0,12,43,5,140,32,5,72,12,27,81,3,9,6,5,14,113,8,0,35,46,0,47
2010,Living Donor,65 +,121,2,6,0,14,1,4,0,3,3,2,0,6,0,0,1,0,0,1,5,6,3,9,0,2,0,0,0,7,0,11,3,2,5,0,3,2,0,1,0,0,0,12,0,0,1,4,0,2
2009,All Donor Types,All Donor Ages,"28,463",411,590,173,"3,058",433,228,25,389,"1,803",699,64,"1,227",565,213,243,283,499,61,731,800,927,804,83,754,315,45,57,585,96,"1,939",908,47,"1,207",225,304,"2,009",94,53,258,47,776,"2,190",269,33,713,518,35,677
2009,All Donor Types,< 1 Year,343,1,6,9,58,2,1,1,13,37,5,0,8,9,1,0,2,0,0,4,4,10,4,0,11,47,0,0,4,0,20,1,0,7,0,0,27,0,0,1,0,12,16,2,0,3,10,0,7
2009,All Donor Types,1-5 Years,604,5,7,6,63,6,2,4,18,49,17,0,17,13,6,3,2,7,1,11,17,23,11,8,19,21,0,0,8,0,42,11,0,23,5,1,46,1,0,12,0,20,68,2,2,6,11,0,10
2009,All Donor Types,6-10 Years,433,4,12,2,59,4,1,1,7,29,14,0,11,21,5,2,2,11,2,13,10,13,12,6,18,4,0,0,0,2,23,8,0,13,4,0,39,0,2,7,0,6,33,14,2,6,6,0,5
2009,All Donor Types,11-17 Years,"1,730",18,24,7,181,35,14,1,21,135,40,4,60,60,15,16,17,26,2,26,42,82,37,7,55,13,6,1,21,6,66,67,0,90,15,20,87,12,2,24,1,76,162,15,2,40,43,3,33
2009,All Donor Types,18-34 Years,"9,207",123,237,56,"1,015",184,62,3,119,575,235,14,471,204,77,103,112,184,15,164,211,260,255,21,251,83,20,16,174,35,470,337,14,375,87,98,658,34,10,80,15,236,776,116,9,226,158,11,218
